id_str,full_text,Netral
1.75E+18,"serem ya Pemerintah sekarang buat RPP UU kesehatan buru buru banget gatau apa yang di kejar. Kita harus tolak pasal tembakau di RPP UU  Kesehatan. @Kemenperin @KemnakerRI @Jokowi @Kemenkes_RI #TolakPasalTembakauRPPKesehatan https://t.co/KWXapLTZHa""",Netral
1.75E+18,yuk bisa dong jadi pemerintah dan pemimpin negara yg solutif ya ini jelas ngerugiin Kita harus tolak pasal tembakau di RPP UU  Kesehatan. @Kemenperin @KemnakerRI @Jokowi @Kemenkes_RI #TolakPasalTembakauRPPKesehatan https://t.co/RO67hlvMeo,Positif
1.75E+18,"Tembakau yg sdh menjadi bagian masyarakat adat tiba-tiba dilarang tentu saja kita menolak pasal tembakau di RPP UU Kesehatan @mohmahfudmd  @Jokowi @Kemenkes_RI
 #TolakPasalTembakauRPPKesehatan https://t.co/R3ktdaO0Sy",Netral
1.75E+18,"Tolong jgn semena-mena melarang produksi Tembakau yg sdh menjadi bagian masyarakat adat sebaiknya segera revisi pasal tembakau di RPP UU Kesehatan @mohmahfudmd  @Jokowi @Kemenkes_RI
 #TolakPasalTembakauRPPKesehatan https://t.co/DP0nAAnroI",Negatif
1.75E+18,"Setuju dgn perkataan pak @mohmahfudmd jgn sampe aturan yang dibuat hanya untuk menguntungkan sebagian pihak sebaiknya tolak pasal tembakau di RPP UU Kesehatan   @Jokowi @Kemenkes_RI
 #TolakPasalTembakauRPPKesehatan https://t.co/Vp6ESJ3dJr",Netral
1.75E+18,"Ini dari dulu pedagang menolak pasal tembakau di RPP UU Kesehatan ya karena ini. Kalau gak ada solusi dari masalah ini gimana mereka jualan? Gimana bisa dapet duit buat makan? 
#TolakPasalTembakauRPPKesehatan
@Kemenperin @KemnakerRI @Kemenkes_RI https://t.co/yw8JJ1egxQ",Netral
1.75E+18,"Tembakau bagian dari masyarakat adat. Setuju banget dengan pak @mohmahfudmd pasal tembakau di RPP UU Kesehatan perlu banget ditinjau ulang karna merugikan banyak pihak  @Jokowi @Kemenkes_RI
 #TolakPasalTembakauRPPKesehatan https://t.co/jNNurcBzFZ",Positif
1.75E+18,"Gini amat ya jadi rakyat kecil, hasil dari jualan asongan gak seberapa, masih juga terancam usahanya menolak pasal tembakau di RPP UU Kesehatan
#TolakPasalTembakauRPPKesehatan
@Kemenperin @KemnakerRI @Kemenkes_RI https://t.co/t0FvJMTk5Z",Negatif
1.75E+18,"Tolak pasal tembakau di RPP UU Kesehatan jika benar hanya permainan untuk menguntungkan pihak tertentu @mohmahfudmd @Jokowi @Kemenkes_RI
 #TolakPasalTembakauRPPKesehatan https://t.co/CWCVMWcnWj",Positif
1.75E+18,"Tembakau sdh menjadi bagian masyarakat adat secara turun temurun dari dulu gak ada masalah baru sekarang ini aja, tolak pasal tembakau di RPP UU Kesehatan @mohmahfudmd  @Jokowi @Kemenkes_RI
 #TolakPasalTembakauRPPKesehatan https://t.co/2Yo6cc5y7C",Positif
1.75E+18,"Setuju dgn pak @mohmahfudmd jgn sampe regulasi yang dibuat hanya menguntungkan para pemain dan merugikan yg lain tolak pasal tembakau di RPP UU Kesehatan   @Jokowi @Kemenkes_RI
 #TolakPasalTembakauRPPKesehatan https://t.co/UIzG3Smiso",Netral
1.75E+18,"krn RPP UU Kesehatan ini memberi dampak negatif bgt ya apalagi buat rakyat kecil, sehrsnya pemerintah bisa kasih solusi terbaik terkait dampak yg diberikan ini #TolakPasalTembakauRPPKesehatan @Kemenperin @KemnakerRI @Kemenkes_RI  https://t.co/tREZcoBO0Y",Positif
1.75E+18,"Setuju pak @mohmahfudmd buat aturan jgn semena2 dong sampe merugikan masyarakat adat, pasal tembakau di RPP UU Kesehatan harus banget ditinjau ulang karna merugikan banyak pihak @Jokowi @Kemenkes_RI
 #TolakPasalTembakauRPPKesehatan https://t.co/5pkr9FIYDP",Positif
1.75E+18,"Udah usulannya menolak pasal tembakau di RPP UU Kesehatan belum ketemu solusi, usaha buat menggantung nasih juga gak pasti 😭
#TolakPasalTembakauRPPKesehatan
@Kemenperin @KemnakerRI @Kemenkes_RI https://t.co/lygBcaYekY",Negatif
1.75E+18,"Pak @mohmahfudmd aja gak setuju dengan pasal tembakau di RPP UU Kesehatan @Jokowi @Kemenkes_RI
 #TolakPasalTembakauRPPKesehatan https://t.co/fqtc9KaCjM",Netral
1.75E+18,"udh parah ya kalau RPP UU Kesehatan ini disahkan, makanya nolak bgt deh soal pengesahan UU ini, bikin rugi sih #TolakPasalTembakauRPPKesehatan @Kemenperin @KemnakerRI @Kemenkes_RI  https://t.co/jKMOB3mqRI",Negatif
1.75E+18,"Nah denger tuh kata pak @mohmahfudmd aja nyuruh buat ditinjau kembali emang paling bener udah tolak pasal tembakau di RPP UU Kesehatan @Jokowi @Kemenkes_RI
 #TolakPasalTembakauRPPKesehatan https://t.co/APnSxVEv8x",Positif
1.75E+18,"pemerintah hrsnya kasih solusi sih, rakyat kecil yg usaha aja sampe kena kalau RPP UU Kesehatan ini disahkan #TolakPasalTembakauRPPKesehatan
@Kemenperin @KemnakerRI @Kemenkes_RI  https://t.co/acxvqjchDv",Negatif
1.75E+18,"kalau yang dirugiin dari kalangan atas, mereka masih punya cara lain buat bertahan hidup, lha kalau rakyat kecil yang menolak pasal tembakau di RPP UU Kesehatan gini nasibnya gimana? 
#TolakPasalTembakauRPPKesehatan
@Kemenperin @KemnakerRI @Kemenkes_RI https://t.co/ps7UwrIoqq",Negatif
1.75E+18,"ah bahkan pkl juga kena lho gara-gara RPP UU Kesehatan ini, bukan cuma merugikan usaha mereka, bisa merugikan negara juag #TolakPasalTembakauRPPKesehatan @Kemenperin @KemnakerRI @Kemenkes_RI https://t.co/yxpjrHs5I3",Netral
1.75E+18,@marlina_idha @aniesbaswedan UU kesehatan yang disebut UU Kesesatan mau diapakan pak??,Netral
1.75E+18,"LinkAja Indonesia · Ingat ya Sobat LinkAja, selalu lindungi data pribadimu seperti data lengkap diri dan keluarga, data kesehatan, keuangan, biometrik, dll. Pahami juga hak atas data pribadi yang terlindung oleh UU No.27 tahun 2022 tentang Perlindungan Data Pribadi. https://t.co/110D9l4Cnv",Positif
1.75E+18,"@aritj @mohmahfudmd itulah pertanyaan kepada para pembuat UU = DPR. Saat ini tidak ada syarat kesehatan untuk nikah dalam UU, artinya syarat kesehatan manapun melanggar konstitusi. Dan konstitusi adalah dasar negara, pendapat soal manfaat terhadap sesuatu tidak berarti.",Negatif
1.75E+18,"@Boankrsn @meguru_meruru @UGM_FESS Tapi diliat dari kondisi kesehatan pak Prabowo, bisa jadi Gibran yg akhirnya nyetir pak Prabowo, apalagi rencana UU dkj yg bentar lagi disahkan.",Netral
1.75E+18,"sewa rahim itu HARAM. kl kalian muslim, maka HARAMNYA MUTLAK. dijelaskan dlm ps 127 UU No 36/2009 ttg Kesehatan, menyebutkan bhw sewa menyewa/penitipan rahim, scr hukum tdk dpt dilakukan di Indonesia. krn rentan eksploitasi.  jd kesimpulannya 2, poligami atau adopsi, sila pilih.",Negatif
